system	feature	relative_time_ms	estimate	SE	z	p_value	CI95_low	CI95_high	SESOI_lower	SESOI_upper	TOST_p_lower	TOST_p_upper	TOST_p	TOST_equivalent_alpha_0_05	p_Bonferroni_within_trajectory	p_BH_global	TOST_p_Bonferroni_within_trajectory	TOST_p_BH_global	predefined_followup_significant	SESOI_equivalent	followup_classification
A04	energy	0	0.0328957933575427	0.0108527764542913	3.03109471535602	0.00243668798353886	0.0116247423748674	0.054166844340218	-0.1	0.1	0	3.14200112945221e-10	3.14200112945221e-10	TRUE	0.0219301918518497	0.00568918339768985	2.82780101650699e-09	9.20033479894846e-10	TRUE	TRUE	SIGNIFICANT
A04	energy	5	0.0275463131452385	0.00876481386570809	3.14282922230809	0.00167323431011083	0.0103675936372534	0.0447250326532237	-0.1	0.1	0	6.90172303399391e-17	6.90172303399391e-17	TRUE	0.0150591087909975	0.004030973565267	6.21155073059452e-16	5.30132348987938e-16	TRUE	TRUE	SIGNIFICANT
A04	energy	10	0.0175711517080643	0.0106944195855881	1.64302060223478	0.100378670714166	-0.00338952551524809	0.0385318289313767	-0.1	0.1	0	6.4077575250114e-15	6.4077575250114e-15	TRUE	0.903408036427494	0.156934204951351	5.76698177251026e-14	3.79202841966415e-14	FALSE	TRUE	NOT_SIGNIFICANT
A04	energy	15	0.00553557584820148	0.00892893407829131	0.619959314254541	0.535284573465479	-0.0119648133655818	0.0230359650619848	-0.1	0.1	0	1.85296439705402e-26	1.85296439705402e-26	TRUE	1	0.62627113451811	1.66766795734862e-25	4.26987448016796e-25	FALSE	TRUE	NOT_SIGNIFICANT
A04	energy	20	-0.00735964504624594	0.0135031688425408	-0.545030957700826	0.585732226078344	-0.0338253696547892	0.0191060795622973	-0.1	0.1	3.42770256622771e-12	9.27302537643854e-16	3.42770256622771e-12	TRUE	1	0.666176136956056	3.08493230960494e-11	1.32604551832167e-11	FALSE	TRUE	NOT_SIGNIFICANT
A04	flatness	-20	-0.029648953491409	0.0155082334440679	-1.91182016948229	0.0558992638300316	-0.0600445325056217	0.000746625522803773	-0.1	0.1	2.8615705839341e-06	3.13570389996647e-17	2.8615705839341e-06	TRUE	0.503093374470284	0.0958789962133228	2.57541352554069e-05	5.65907615479505e-06	FALSE	TRUE	NOT_SIGNIFICANT
A04	flatness	-15	-0.0211504953000827	0.0102547776531235	-2.06250159832967	0.0391600055434146	-0.041249490169671	-0.00105150043049439	-0.1	0.1	7.43849426498855e-15	1.65122892120242e-32	7.43849426498855e-15	TRUE	0.352440049890731	0.0705945678163597	6.6946448384897e-14	4.33230984664168e-14	FALSE	TRUE	NOT_SIGNIFICANT
A04	flatness	-10	0.000938092988005498	0.0122824173655907	0.0763769020448348	0.93911924541762	-0.0231350026916416	0.0250111886676526	-0.1	0.1	1.11022302462516e-16	3.65153132345327e-16	3.65153132345327e-16	TRUE	1	0.955342034685871	3.28637819110794e-15	2.44976152079776e-15	FALSE	TRUE	NOT_SIGNIFICANT
A04	flatness	-5	0.0427691665769401	0.0100662874846817	4.24875274444762	2.14964022374693e-05	0.0230396056489377	0.0624987275049425	-0.1	0.1	0	6.52548367156603e-09	6.52548367156603e-09	TRUE	0.000193467620137224	6.78160308682067e-05	5.87293530440943e-08	1.66274343554327e-08	TRUE	TRUE	SIGNIFICANT
A04	flatness	0	0.0807439811000955	0.012464288400157	6.47802574105061	9.29305027098196e-11	0.0563144247428675	0.105173537457324	-0.1	0.1	0	0.0611858114293005	0.0611858114293005	FALSE	8.36374524388376e-10	5.29603940174241e-10	0.550672302863704	0.0772106668036411	TRUE	FALSE	SIGNIFICANT
A04	flatness	5	0.0914641461896315	0.0100662874846817	9.08618458680191	1.02575523273665e-19	0.0717345852616291	0.111193707117634	-0.1	0.1	0	0.19822888799541	0.19822888799541	FALSE	9.23179709462985e-19	1.10949035377638e-18	1	0.236624573508034	TRUE	FALSE	SIGNIFICANT
A04	flatness	10	0.0820837870435586	0.0122824173655904	6.68303189838825	2.3404860415114e-11	0.0580106913639121	0.106156882723205	-0.1	0.1	0	0.0723255211129726	0.0723255211129726	FALSE	2.10643743736026e-10	1.42581333563338e-10	0.650929690016753	0.0904069013912157	TRUE	FALSE	SIGNIFICANT
A04	flatness	15	0.065372137915283	0.0102547776531238	6.37479817959479	1.83204044869071e-10	0.0452731430456941	0.0854711327848718	-0.1	0.1	0	0.000366733000524195	0.000366733000524195	TRUE	1.64883640382164e-09	1.01143899771466e-09	0.00330059700471775	0.000588995425084313	TRUE	TRUE	SIGNIFICANT
