system	feature	region	relative_time_ms	estimate_tts_minus_bf	SE	CI95_low	CI95_high	wald_z	p_raw	p_bonferroni_within_trajectory	p_BH_global
A11	energy	Interior_B	15	-0.0464083274575684	0.0122887379538329	-0.0704938112625312	-0.0223228436526056	-3.77649256025462	0.000159052308131786	0.00143147077318607	0.00026732893227224
A11	energy	Interior_B	20	-0.0424403985232912	0.0149952367162458	-0.0718305224267856	-0.0130502746197968	-2.83025865655802	0.00465103862759179	0.0418593476483261	0.00680953169233053
A11	flatness	Boundary	-20	0.00238249132493935	0.0152456989872018	-0.027498529609115	0.0322635122589937	0.15627301358497	0.875817827017105	1	0.894380439921129
A11	flatness	Boundary	-15	-0.028702916269014	0.0111369345275827	-0.0505309068412567	-0.00687492569677141	-2.57727260566415	0.00995833795056792	0.0896250415551113	0.0140869727236681
A11	flatness	Boundary	-10	-0.0404865087629406	0.0126740316873697	-0.0653271544091047	-0.0156458631167766	-3.19444591599746	0.00140099533136631	0.0126089579822968	0.00217325129450969
A11	flatness	Boundary	-5	-0.0220588718440746	0.0109983426130416	-0.0436152272552684	-0.000502516432880882	-2.00565418083245	0.044893156926633	0.404038412339697	0.0583647747451729
A11	flatness	Boundary	0	0.00391980565130597	0.0128154506360248	-0.0211980160409536	0.0290376273435655	0.305865611958055	0.759706969614397	1	0.788468721727735
A11	flatness	Boundary	5	0.0141082974472585	0.0109983426130414	-0.00744805796393472	0.0356646528584518	1.28276577150174	0.199574149276649	1	0.235402742841152
A11	flatness	Boundary	10	0.016010830658226	0.0126740316873695	-0.0088298149879376	0.0408514763043896	1.26327841472748	0.206489140712366	1	0.242479862431804
A11	flatness	Boundary	15	0.0217295946794866	0.0111369345275825	-9.83958927556379e-05	0.0435575852517289	1.95112888790624	0.0510417155734912	0.459375440161421	0.0657668782510948
A11	flatness	Boundary	20	0.0309131746392744	0.0152456989872009	0.00103215370522192	0.0607941955733269	2.02766528876287	0.0425944206070285	0.383349785463256	0.0555014356791789
A11	flatness	Interior_A	-20	0.0377713797756579	0.0152456989872008	0.00789035884160556	0.0676524007097102	2.47751052984636	0.0132302504843622	0.11907225435926	0.0184658393657425
A11	flatness	Interior_A	-15	0.0476065627592518	0.0111369345275821	0.0257785721870103	0.0694345533314933	4.27465588859734	1.91432726416666e-05	0.000172289453775	3.45099812928004e-05
A11	flatness	Interior_A	-10	0.04870030414226	0.0126740316873692	0.0238596584960969	0.073540949788423	3.84252662006472	0.000121774201469524	0.00109596781322571	0.00020730297680572
A11	flatness	Interior_A	-5	0.0362007534166332	0.0109983426130416	0.0146443980054396	0.0577571088278268	3.29147351471914	0.00099664000907975	0.00896976008171775	0.00157052290826244
A11	flatness	Interior_A	0	0.0208144244444682	0.012815450636025	-0.00430339724779179	0.0459322461367282	1.62416640940878	0.10434029775974	0.93906267983766	0.128505866334614
A11	flatness	Interior_A	5	0.0133124008656379	0.0109983426130415	-0.00824395454555567	0.0348687562768315	1.21040063344202	0.226125198959567	1	0.263205758671824
A11	flatness	Interior_A	10	0.00916568106097377	0.0126740316873692	-0.0156749645851893	0.0340063267071368	0.723185903827917	0.469565677906848	1	0.514548192882073
A11	flatness	Interior_A	15	0.00182913918218188	0.0111369345275821	-0.0199988513900597	0.0236571297544235	0.164240813093744	0.86954157312293	1	0.889113248402224
A11	flatness	Interior_A	20	-0.00800676227649143	0.0152456989872007	-0.0378877832105436	0.0218742586575607	-0.52518171080338	0.599456877694817	1	0.638831391109088
A11	flatness	Interior_B	-20	0.042220741091315	0.0152456989872008	0.0123397201572627	0.0721017620253674	2.76935423733347	0.00561675304531125	0.0505507774078013	0.00815583318908209
A11	flatness	Interior_B	-15	0.0563188120570177	0.0111369345275821	0.0344908214847762	0.0781468026292592	5.05694021254562	4.26036730537023e-07	3.83433057483321e-06	8.41488697582443e-07
A11	flatness	Interior_B	-10	0.0634769059669483	0.0126740316873692	0.0386362603207853	0.0883175516131114	5.00842253930994	5.48779531584743e-07	4.93901578426269e-06	1.07325886250891e-06
A11	flatness	Interior_B	-5	0.0591138234215294	0.0109983426130416	0.0375574680103358	0.080670178832723	5.37479377587616	7.66703823535376e-08	6.90033441181839e-07	1.56893060414575e-07
A11	flatness	Interior_B	0	0.0480834756459618	0.012815450636025	0.0229656539537019	0.0732012973382218	3.75199257611716	0.000175434660547257	0.00157891194492531	0.000294241677500146
A11	flatness	Interior_B	5	0.0368381750107499	0.0109983426130415	0.0152818195995563	0.0583945304219434	3.34942966470858	0.00080978112554061	0.00728803012986549	0.00129272288113411
A11	flatness	Interior_B	10	0.0287887278428325	0.0126740316873692	0.00394808219666944	0.0536293734889956	2.27147355734663	0.0231183259424564	0.208064933482107	0.031177386131048
A11	flatness	Interior_B	15	0.025656635381971	0.0111369345275821	0.00382864480972939	0.0474846259542126	2.30374303794539	0.0212370723710637	0.191133651339574	0.028737825591482
A11	flatness	Interior_B	20	0.0254476845627806	0.0152456989872007	-0.00443333637127158	0.0553287054968327	1.66917138952729	0.0950834184309408	0.855750765878467	0.117835257447542
A11	flux	Boundary	-15	0.0321593095360748	0.0184442249888142	-0.00399070716475473	0.0683093262369044	1.74359776870963	0.0812292526660396	0.649834021328317	0.101776604995274
A11	flux	Boundary	-10	-0.0149518262614066	0.0163353158036059	-0.0469684569125621	0.0170648043897489	-0.915306838335267	0.360030570158569	1	0.402000425949525
A11	flux	Boundary	-5	-0.0494935612296884	0.0167439469975968	-0.0823110943040258	-0.016676028155351	-2.95590766244016	0.00311750407570779	0.0249400326056623	0.00462822733928608
A11	flux	Boundary	0	-0.0603968850614128	0.0165600433024524	-0.0928539735166431	-0.0279397966061824	-3.64714535815668	0.000265169930229778	0.00212135944183822	0.000438274624808053
A11	flux	Boundary	5	-0.0404198424169139	0.0165600433024524	-0.0728769308721443	-0.00796275396168349	-2.44080535773286	0.0146545508675723	0.117236406940578	0.0203322302612914
A11	flux	Boundary	10	-0.0036559634823282	0.0167439469975966	-0.0364734965566652	0.0291615695920088	-0.218345380742842	0.827160018601336	1	0.85015153818754
A11	flux	Boundary	15	0.0184295413952565	0.0163353158036068	-0.0135870892559007	0.0504461720464137	1.12820233271446	0.259234479004373	1	0.297390203186835
A11	flux	Boundary	20	0.0250441943358736	0.018444224988816	-0.0111058223649595	0.0611942110367067	1.35783392097307	0.174516388778537	1	0.207540058457647
A11	flux	Interior_A	-15	0.0343197594833064	0.0184442249888158	-0.00183025721752626	0.0704697761841391	1.86073199085986	0.0627820337963175	0.50225627037054	0.0797949110600678
A11	flux	Interior_A	-10	0.050849815961286	0.0163353158036069	0.0188331853101284	0.0828664466124436	3.11287621082037	0.00185273710887729	0.0148218968710183	0.00282440268755023
A11	flux	Interior_A	-5	0.0605192836176027	0.0167439469975968	0.0277017505432653	0.0933368166919401	3.61439770600616	0.000301046646251495	0.00240837317001196	0.00049653959288369
A11	flux	Interior_A	0	0.0640086713640007	0.0165600433024521	0.0315515829087709	0.0964657598192305	3.86524782544034	0.000110976458181869	0.000887811665454951	0.000189123867641127
A11	flux	Interior_A	5	0.0756937517968012	0.0165600433024519	0.0432366633415718	0.108150840252031	4.57086677941199	4.85710999067363e-06	3.88568799253891e-05	9.05369857581603e-06
A11	flux	Interior_A	10	0.0897676134124546	0.0167439469975965	0.0569500803381179	0.122585146486791	5.36119789589278	8.26718892405627e-08	6.61375113924501e-07	1.68739799605256e-07
A11	flux	Interior_A	15	0.0818738544679141	0.0163353158036068	0.0498572238167568	0.113890485119071	5.01207662295923	5.38457531661669e-07	4.30766025329335e-06	1.0543688119976e-06
A11	flux	Interior_A	20	0.0555661723561069	0.0184442249888162	0.0194161556552735	0.0917161890569402	3.01265964765665	0.00258969180913806	0.0207175344731045	0.00387722220012196
A11	flux	Interior_B	-15	0.0443663047409457	0.0184442249888158	0.008216288040113	0.0805163214417784	2.40543068455565	0.0161534160300597	0.129227328240478	0.0221604240619456
A11	flux	Interior_B	-10	0.0580433572712165	0.0163353158036069	0.0260267266200589	0.090059987922374	3.55324365742596	0.00038051184534623	0.00304409476276984	0.000623083248301242
A11	flux	Interior_B	-5	0.0707714332922082	0.0167439469975968	0.0379539002178708	0.103588966366546	4.22668760850506	2.37156550551281e-05	0.000189725240441025	4.24638418216821e-05
A11	flux	Interior_B	0	0.0827007292600904	0.0165600433024521	0.0502436408048607	0.11515781771532	4.99399233139957	5.91437470824483e-07	4.73149976659587e-06	1.15384733571893e-06
A11	flux	Interior_B	5	0.0958028750680401	0.0165600433024519	0.0633457866128107	0.128259963523269	5.78518264223715	7.24335867586878e-09	5.79468694069502e-08	1.54589802612501e-08
A11	flux	Interior_B	10	0.105088319179543	0.0167439469975965	0.0722707861052065	0.13790585225388	6.27619755333841	3.46953300006937e-10	2.77562640005549e-09	7.76859076688799e-10
A11	flux	Interior_B	15	0.10000963999804	0.0163353158036068	0.0679930093468825	0.132026270649197	6.12229608539052	9.22364199813891e-10	7.37891359851113e-09	2.03124525997796e-09
A11	flux	Interior_B	20	0.0840548557294014	0.0184442249888162	0.047904839028568	0.120204872430235	4.55724519628061	5.18289070909139e-06	4.14631256727311e-05	9.62709839655994e-06
