system,feature,time_ms,estimate,significant,equivalent
A12,flux,0,0.0071285019569198,False,True
A12,flux,5,0.0226140595621969,False,True
A12,flux,10,0.0334774815155072,True,True
A12,flux,15,0.0426481484616467,True,True
A12,flux,20,0.0514397788364982,True,True
A01,tilt,-20,0.120876041294892,True,False
A01,tilt,-15,0.0882065376359927,True,False
A01,tilt,-10,0.0470166326566379,True,True
A01,tilt,-5,-0.0057800569800075,False,True
A01,tilt,0,-0.0515338426762949,True,True
A01,tilt,5,-0.0731518276660033,True,True
A01,tilt,10,-0.0815043544431055,True,False
A01,tilt,15,-0.0910927420904181,True,False
A01,tilt,20,-0.102978976785938,True,False
A02,tilt,-20,0.145196793731691,True,False
A02,tilt,-15,0.138962668151816,True,False
A02,tilt,-10,0.129595491042722,True,False
A02,tilt,-5,0.113591157686662,True,False
A02,tilt,0,0.0859613506117683,True,False
A02,tilt,5,0.0432918633893214,True,True
A02,tilt,10,-0.010050853482696,False,True
A02,tilt,15,-0.0684436531529091,True,True
A02,tilt,20,-0.129017260283078,True,False
A03,tilt,-20,0.0178177493723664,False,True
A03,tilt,-15,0.020156943425945,False,True
A03,tilt,-10,0.028763375623456,True,True
A03,tilt,-5,0.0459958524221879,True,True
A03,tilt,0,0.0585794535328555,True,True
A03,tilt,5,0.0532603254214488,True,True
A03,tilt,10,0.0325026083216358,True,True
A03,tilt,15,0.0023880803224738,False,True
A03,tilt,20,-0.0322489228330977,False,True
A04,tilt,-20,-0.0082659222949018,False,True
A04,tilt,-15,-0.0091910217522675,False,True
A04,tilt,-10,-0.0089720527402735,False,True
A04,tilt,-5,-0.0067119187356607,False,True
A04,tilt,0,-0.0025014109995728,False,True
A04,tilt,5,0.0028030411765287,False,True
A04,tilt,10,0.0062703441643152,False,True
A04,tilt,15,0.0054662739450704,False,True
A04,tilt,20,0.0020187492753952,False,True
A07,tilt,-20,0.0604296610416218,True,True
A07,tilt,-15,0.0427838777510472,True,True
A07,tilt,-10,0.0265060920726898,False,True
A07,tilt,-5,0.0124612801694139,False,True
A07,tilt,0,-0.0004976675933278,False,True
A07,tilt,5,-0.0136052380925659,False,True
A07,tilt,10,-0.0264333413778516,False,True
A07,tilt,15,-0.0383724657656924,True,True
A07,tilt,20,-0.0497499894678979,True,True
A08,tilt,-20,0.0791091095659853,True,False
A08,tilt,-15,0.0441395194697394,True,True
A08,tilt,-10,0.0086897400546652,False,True
A08,tilt,-5,-0.0267734541393838,True,True
A08,tilt,0,-0.0579954331378278,True,True
A08,tilt,5,-0.0804739000465139,True,False
A08,tilt,10,-0.0925037457277233,True,False
A08,tilt,15,-0.0942013294681219,True,False
A08,tilt,20,-0.0901716964954773,True,False
A09,tilt,-20,-0.0069918155745437,False,True
A09,tilt,-15,-0.0308692447168856,True,True
A09,tilt,-10,-0.0429947933452784,True,True
A09,tilt,-5,-0.0361221910565495,True,True
A09,tilt,0,-0.0210276078906334,False,True
A09,tilt,5,-0.0098286872090479,False,True
A09,tilt,10,-0.0019865252165363,False,True
A09,tilt,15,0.0055558884159951,False,True
A09,tilt,20,0.0132714429962147,False,True
A10,tilt,-20,0.0147459859983735,False,True
A10,tilt,-15,0.0019093046574078,False,True
A10,tilt,-10,-0.0073526644797699,False,True
A10,tilt,-5,-0.0107887583083652,False,True
A10,tilt,0,-0.0114420101195565,False,True
A10,tilt,5,-0.0127955409967001,False,True
A10,tilt,10,-0.0147986267958901,False,True
A10,tilt,15,-0.0166964988522484,False,True
A10,tilt,20,-0.0184520556442692,False,True
A11,tilt,-20,-0.0089422775216066,False,True
A11,tilt,-15,-0.0319819160212881,True,True
A11,tilt,-10,-0.034013784777385,True,True
A11,tilt,-5,-0.0035906562368766,False,True
A11,tilt,0,0.0324925283910022,True,True
A11,tilt,5,0.0461050756615037,True,True
A11,tilt,10,0.042015451950083,True,True
A11,tilt,15,0.0314437804197794,True,True
A11,tilt,20,0.0185176515637676,False,True
A12,tilt,-20,0.0003837586281328,False,True
A12,tilt,-15,-0.0051646513139134,False,True
A12,tilt,-10,-0.0079163543297627,False,True
A12,tilt,-5,-0.0057879083615277,False,True
A12,tilt,0,0.0004510691754401,False,True
A12,tilt,5,0.0090369554641458,False,True
A12,tilt,10,0.0170831655542561,False,True
A12,tilt,15,0.0222591783495703,False,True
A12,tilt,20,0.0255816903037531,False,True
